volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,sulphates,alcohol,quality
0.7,0,0.076,11,34,0.56,9.4,5
0.88,0,0.098,25,67,0.68,9.8,5
0.76,0.04,0.092,15,54,0.65,9.8,5
0.28,0.56,0.075,17,60,0.58,9.8,6
0.7,0,0.076,11,34,0.56,9.4,5
0.66,0,0.075,13,40,0.56,9.4,5
0.6,0.06,0.069,15,59,0.46,9.4,5
0.65,0,0.065,15,21,0.47,10,7
0.58,0.02,0.073,9,18,0.57,9.5,7
0.5,0.36,0.071,17,102,0.8,10.5,5
0.58,0.08,0.097,15,65,0.54,9.2,5
0.5,0.36,0.071,17,102,0.8,10.5,5
0.615,0,0.089,16,59,0.52,9.9,5
0.61,0.29,0.114,9,29,1.56,9.1,5
0.62,0.18,0.176,52,145,0.88,9.2,5
0.62,0.19,0.17,51,148,0.93,9.2,5
0.28,0.56,0.092,35,103,0.75,10.5,7
0.56,0.28,0.368,16,56,1.28,9.3,5
0.59,0.08,0.086,6,29,0.5,9,4
0.32,0.51,0.341,17,56,1.08,9.2,6
0.22,0.48,0.077,29,60,0.53,9.4,6
0.39,0.31,0.082,23,71,0.65,9.7,5
0.43,0.21,0.106,10,37,0.91,9.5,5
0.49,0.11,0.084,9,67,0.53,9.4,5
0.4,0.14,0.085,21,40,0.63,9.7,6
0.39,0.16,0.08,11,23,0.56,9.3,5
0.41,0.24,0.08,4,11,0.59,9.5,5
0.43,0.21,0.106,10,37,0.91,9.5,5
0.71,0,0.08,14,35,0.55,9.4,5
0.645,0,0.082,8,16,0.59,9.8,6
0.675,0.07,0.089,17,82,0.54,10.1,5
0.685,0,0.105,22,37,0.57,10.6,6
0.655,0.12,0.083,15,113,0.66,9.8,5
0.605,0.12,0.073,40,83,0.52,9.4,6
0.32,0.25,0.103,13,50,0.55,9.2,5
0.645,0,0.086,5,18,0.55,9.6,6
0.6,0.14,0.086,3,15,0.6,10.8,6
0.38,0.28,0.066,13,30,0.73,9.7,7
1.13,0.09,0.172,7,19,0.48,9.8,4
0.45,0.36,0.074,12,87,0.83,10.5,5
0.45,0.36,0.074,12,87,0.83,10.5,5
0.61,0.3,0.088,17,46,0.51,9.3,4
0.49,0.2,0.332,8,14,0.9,10.5,6
0.66,0.22,0.069,9,23,1.2,10.3,5
0.67,0.02,0.05,5,11,0.52,9.5,5
0.52,0.15,0.054,8,65,0.56,13.1,4
0.935,0.43,0.114,22,114,0.73,9.2,5
0.29,0.52,0.113,12,37,0.58,9.5,5
0.4,0.23,0.066,5,12,0.56,9.2,5
0.31,0.37,0.074,12,96,0.58,9.2,5
0.66,0.26,0.074,4,23,0.74,9.2,5
0.52,0.04,0.069,8,15,0.63,9.4,6
0.5,0.04,0.068,6,14,0.64,9.4,6
0.38,0.36,0.081,30,119,0.56,9.4,5
0.51,0.15,0.11,33,73,0.63,10.2,6
0.62,0.04,0.084,25,45,0.53,9.5,5
0.42,0.57,0.07,4,10,0.63,9.6,5
0.63,0.12,0.111,50,110,0.77,9.4,5
0.59,0.18,0.076,17,54,0.59,10,5
0.39,0.31,0.074,9,46,0.54,9.4,6
0.4,0.4,0.079,19,52,0.64,9.2,5
0.69,0.49,0.115,20,112,0.71,9.3,5
0.52,0.16,0.085,12,35,0.62,9.5,7
0.735,0.05,0.081,13,54,0.57,9.8,5
0.725,0.05,0.086,4,11,0.39,10.9,5
0.725,0.05,0.086,4,11,0.39,10.9,5
0.52,0.11,0.079,11,39,0.58,9.6,5
0.705,0.07,0.076,6,15,0.58,10.7,5
0.32,0.57,0.074,27,65,0.79,10.7,5
0.705,0.05,0.074,8,19,0.95,10.5,6
0.63,0.08,0.076,15,27,0.54,9.5,6
0.67,0.23,0.088,17,96,0.48,9.5,5
0.69,0.22,0.084,18,94,0.48,9.5,5
0.675,0.26,0.084,11,43,0.53,9.2,4
0.32,0.54,0.094,28,83,0.82,9.6,5
0.41,0.64,0.093,9,42,0.66,10.5,5
0.41,0.64,0.093,9,42,0.66,10.5,5
0.785,0,0.104,14,30,0.55,10.7,6
0.75,0.12,0.086,12,80,0.52,10.1,5
0.625,0.2,0.08,27,119,1.12,9.1,4
0.45,0.2,0.069,3,15,0.56,9.2,5
0.43,0.7,0.464,22,67,1.28,9.4,5
0.5,0.47,0.086,21,73,0.57,9.1,5
